series_id
A2304402X
A2304404C
A3606056V
A2304408L
A2304410X
A2304412C
A2304414J
A2304416L
A2304418T
A2304420C
A2304422J
A2304424L
A2323382F
A2304428W
A2304190J
A2304192L
A3606058X
A2304196W
A2304198A
A2304200A
A2433068T
A2433071F
A2302586T
A2302587V
A2302588W
A2302589X
A2302590J
A2302591K
A2302592L
A2302593R
A2302594T
A2305148W
A2305146T
A2302597X
A2302598A
A2302599C
A2302600A
A2302601C
A2302602F
A2302603J
A2302604K
A2302605L
A2302606R
A129552324A
A2302607T
A2302608V
A129552325C
A85222698X
A85222699A
A85125298V
A85125299W
A124830484V
A124830485W
A124830486X
A124830487A
A85125310X
A85125311A
A85125312C
A85125313F
A85251203A
A85251204C
A85251205F
A85251206J
A2303355A
A2303357F
A2303359K
A2323372A
A2303363A
A2303365F
A2303367K
A2303369R
A2298712J
A2303373F
A2303375K
A2303377R
A2303379V
A2303381F
A2303383K
A2716600A
A2716601C
A2716610F
A2298671X
A2304076C
A2304077F
A2304078J
A2304079K
A2304080V
A2304081W
A2304082X
A2304096L
A2304097R
A2304098T
A2304099V
A2304086J
A2304087K
A2304088L
A2304089R
A2304083A
A2304084C
A2304085F
A2716197L
A2716199T
A2304092C
A2304091A
A2304093F
A2716198R
A2304095K
A2304100T
A2304101V
A2304102W
A2304103X
A2304104A
A2304105C
A2304106F
A2304107J
A2304108K
A2304109L
A2304110W
A2304111X
A2304112A
A2304113C
A2304114F
A2304115J
A2304116K
A2303827L
A2303828R
A2303829T
A2303830A
A2303831C
A2303832F
A2303833J
A2303844R
A2303845T
A2303846V
A2303847W
A2303835L
A2303836R
A2303837T
A2303834K
A2716238W
A2716240J
A2303840F
A2303839W
A2303841J
A2716239X
A2303843L
A2303848X
A2303849A
A2303850K
A2303851L
A2303852R
A2303853T
A2303854V
A2303855W
A2303856X
A2303857A
A2303858C
A2303859F
A2303860R
A2303861T
A2303862V
A2303935W
A2303936X
A2303937A
A2303938C
A2303939F
A2303940R
A2303941T
A2303711K
A2303712L
A2303713R
A2303714T
A2303943W
A2303703K
A2303704L
A2303942V
A2716115W
A2716117A
A2303707V
A2303706T
A2303708W
A2716116X
A2303710J
A2303715V
A2303716W
A2303717X
A2303718A
A2303719C
A2303720L
A2303721R
A2303722T
A2303723V
A2303724W
A2303725X
A2303726A
A2303727C
A2303728F
A2303729J
A2303730T
A2303246R
A2303248V
A2303250F
A2303252K
A2303254R
A2303256V
A2303258X
A2303260K
A2303262R
A2303264V
A2303266X
A2303268C
A2303270R
A2303272V
A2303274X
A2303276C
A2303278J
A2303280V
A3531609C
A3531621V
A2314865F
A2325846C
A3604506F
A3604509L
A3604503X
A2330526L
A2330571X
A2330616T
A2330706W
A3604398J
A2330661C
A2330751J
A2330796L
A2332101T
A2332146W
A2332191J
A2332236A
A2332281L
A2332326F
A2332371T
A2332416K
A2332461W
A2332506R
A2332641F
A2332686K
A2332551A
A3604378X
A2330841L
A2325891R
A2326116V
A2325936J
A2325981V
A2326026R
A2331111C
A2326071A
A2331201J
A2331246L
A2331426W
A2332596F
A2603039T
A2603989W
A2603609J
A2713846W
A2713852T
A2713849C
A2626979V
A2627929R
A2627549L
A2615009A
A2615959F
A2615579C
A84423043C
A84423041X
A84423042A
A84423054K
A84423046K
A84423044F
A84423045J
A84423050A
A84423052F
A84423053J
A84423047L
A84423051C
A85255725J
A85255726K
A128478317T
A128480733V
A128475629X
A128479215W
A128477405X
A128480215V
A128475329W
A128473623X
A128477399R
A128479281V
A128484257R
A128475583C
A128478847A
A128485865L
A128473449C
A128475405L
A128474303F
A128476849V
A128485881L
A128473315W
A128482435J
A128484685K
A128475063X
A128478473V
A128475797K
A128473361K
A128477043A
A128473239F
A128481587A
A130184499R
A130184501R
A128483461F
A128481639T
A128476505R
A128480133R
