"package","date","series","series_id","series_type","frequency","value","category"
"readrba",2001-07-31,"1-month OIS","FIRMMOIS1","Original","Monthly",4.98,"TBC"
"readrba",1969-06-30,"3-month BABs/NCDs","FIRMMBAB90","Original","Monthly",5.9,"TBC"
"readrba",2001-07-31,"3-month OIS","FIRMMOIS3","Original","Monthly",4.97,"TBC"
"readrba",1992-07-31,"6-month BABs/NCDs","FIRMMBAB180","Original","Monthly",5.5,"TBC"
"readrba",2001-07-31,"6-month OIS","FIRMMOIS6","Original","Monthly",5.01,"TBC"
"readrba",1990-01-31,"Australia Target Cash Rate","FOOIRATCR","Original","Monthly",17,"TBC"
"readrba",1969-07-31,"Australian Government 10 year bond","FCMYGBAG10","Original","Monthly",5.8,"TBC"
"readrba",1995-01-31,"Australian Government 2 year bond","FCMYGBAG2","Original","Monthly",10.202,"TBC"
"readrba",1992-06-30,"Australian Government 3 year bond","FCMYGBAG3","Original","Monthly",7.04,"TBC"
"readrba",1972-01-31,"Australian Government 5 year bond","FCMYGBAG5","Original","Monthly",5.65,"TBC"
"readrba",1982-07-31,"Base metals prices – A$","GRCPBMAD","Original","Monthly",16.8258263392098,"TBC"
"readrba",1982-07-31,"Bulk commodities prices – A$","GRCPBCAD","Original","Monthly",17.183553274997,"TBC"
"readrba",2009-01-31,"Bulk commodities spot prices – A$","GRCPBCSAD","Original","Monthly",52.7421856748373,"TBC"
"readrba",1997-03-31,"Business conditions","GICNBC","Seasonally adjusted","Monthly",-7.40488962049724,"TBC"
"readrba",1980-01-31,"Canada Target Rate","FOOIRCTR","Original","Monthly",14,"TBC"
"readrba",1982-07-31,"Commodity prices – A$","GRCPAIAD","Original","Monthly",19.3025554642045,"TBC"
"readrba",2009-01-31,"Commodity prices (with bulk commodities spot prices) – A$","GRCPAISAD","Original","Monthly",54.57510490918,"TBC"
"readrba",2010-01-31,"Consumer sentiment","GICWMICS","Seasonally adjusted","Monthly",120.124739411254,"TBC"
"readrba",1976-09-30,"Credit; Housing; Monthly growth","DGFACHM","Seasonally adjusted","Monthly",1.63870983158643,"TBC"
"readrba",1990-02-28,"Credit; Investor housing; Monthly growth","DGFACIHM","Seasonally adjusted","Monthly",4.70682520986804,"TBC"
"readrba",1976-10-31,"Credit; Other personal; Monthly growth","DGFACOPM","Seasonally adjusted","Monthly",2.3634898322034,"TBC"
"readrba",1990-02-28,"Credit; Owner-occupier housing; Monthly growth","DGFACOHM","Seasonally adjusted","Monthly",0.903361568247149,"TBC"
"readrba",1999-01-31,"Euro Area Refinancing Rate","FOOIREARR","Original","Monthly",3,"TBC"
"readrba",1980-01-31,"Japan Policy Rate","FOOIRJTCR","Original","Monthly",6.25,"TBC"
"readrba",2015-08-31,"Lending rates; Housing loans; Banks; 3-year fixed; Investor","FILRHL3YFI","Original","Monthly",5.05,"TBC"
